Issue Type,Summary,Description,Priority,Epic Link,Labels,Story Points
Epic,Prompt Versioning & Management System,Implement a comprehensive prompt versioning system to track, manage, and deploy prompt changes with rollback capabilities.,High,,prompt-management;high-priority,
Epic,Sentry Integration with Prompt Breadcrumbs,Enhance Sentry error tracking with detailed prompt execution breadcrumbs and context for better debugging and monitoring.,High,,sentry-integration;observability;high-priority,
Epic,Prompt Context Injection & Templating System,Implement dynamic prompt context injection and templating to support personalized, query-specific prompts.,High,,prompt-engineering;context-injection;high-priority,
Epic,Prompt Engineering & Optimization Framework,Build tools and workflows for testing, analyzing, and optimizing prompts systematically.,High,,prompt-engineering;optimization;high-priority,
Epic,Enhanced Document Management System,Improve document management with versioning, enhanced metadata, search capabilities, and analytics.,High,,document-management;high-priority,
Epic,Vena API Integration & Data Pulling,Enhance Vena API integration to pull and synchronize tenant data (dimensions, hierarchies, intersections, model structure) with intelligent caching, real-time updates, and comprehensive error handling.,High,,vena-api;data-sync;high-priority,
Epic,LLM Provider Compatibility Fixes,Fix compatibility issues and enhance support for multiple LLM providers (OpenAI, Anthropic) with proper caching, logging, and error handling.,Medium,,llm-provider;compatibility;medium-priority,
Epic,Infrastructure & Code Quality Improvements,Review and improve infrastructure components, remove hardcoded references, and enhance code quality.,Medium,,infrastructure;code-quality;medium-priority,
Epic,Testing & Quality Assurance,Create comprehensive testing framework for prompts and ensure quality through automated testing.,Low,,testing;qa;low-priority,
Epic,Documentation & Knowledge Base Updates,Update and enhance documentation for new systems and features.,Low,,documentation;low-priority,
Epic,Advanced Prompt Features,Implement advanced prompt features for enhanced personalization and context awareness.,Low,,prompt-engineering;advanced-features;low-priority,
Epic,Monitoring & Analytics Dashboards,Build comprehensive monitoring and analytics dashboards for prompts, performance, and costs.,Low,,monitoring;analytics;low-priority,
Story,Create prompt versioning database schema,Store prompt versions with metadata (version number, date, author, description). Track which version is active/production. Support rollback to previous versions.,High,Prompt Versioning & Management System,prompt-management;database,
Story,Create prompt management service,Create backend/src/services/prompt_manager.py with CRUD operations for prompts, version comparison and diff functionality, and A/B testing support (run multiple versions simultaneously).,High,Prompt Versioning & Management System,prompt-management;backend,
Story,Add prompt version tracking to query logs,Log which prompt version was used for each query. Enable analytics on prompt performance.,High,Prompt Versioning & Management System,prompt-management;logging,
Story,Create admin API endpoints for prompt management,GET /api/admin/prompts - List all prompt versions. POST /api/admin/prompts - Create new prompt version. PUT /api/admin/prompts/{version}/activate - Activate a version. GET /api/admin/prompts/{version} - Get specific version.,High,Prompt Versioning & Management System,prompt-management;api,
Story,Add prompt version to configuration,Environment variable: PROMPT_VERSION (defaults to "latest"). Support per-tenant prompt versions (future).,High,Prompt Versioning & Management System,prompt-management;configuration,
Story,Add Sentry breadcrumbs for prompt execution,Log prompt version used, prompt template (truncated if too long), context documents count and sources, LLM provider and model used, token counts (input/output).,High,Sentry Integration with Prompt Breadcrumbs,sentry;observability,
Story,Add custom Sentry tags for prompts,Add tags: prompt_version, prompt_type (system/user), llm_provider, model_name.,High,Sentry Integration with Prompt Breadcrumbs,sentry;observability,
Story,Create prompt-specific Sentry context,Add prompt metadata to Sentry scope before LLM calls. Include prompt in error context when LLM errors occur.,High,Sentry Integration with Prompt Breadcrumbs,sentry;observability,
Story,Add performance tracking for prompts,Track prompt execution time, token usage per prompt version, error rates per prompt version.,High,Sentry Integration with Prompt Breadcrumbs,sentry;performance,
Story,Create dynamic context injection service,Support variable injection (user context, tenant info, query metadata). Support conditional prompt sections based on query type. Support few-shot example injection based on query similarity.,High,Prompt Context Injection & Templating System,prompt-engineering;context-injection,
Story,Add context injection to RAG pipeline,Inject user role/tenant-specific instructions. Inject query type-specific guidelines (VenaQL vs general questions). Inject recent conversation context.,High,Prompt Context Injection & Templating System,prompt-engineering;rag-pipeline,
Story,Create prompt template system,Support Jinja2-style templating for prompts. Allow dynamic sections based on query analysis. Support prompt composition (base + specialized sections).,High,Prompt Context Injection & Templating System,prompt-engineering;templating,
Story,Modularize prompts into reusable components,Break down monolithic prompts into smaller, reusable modules. Create prompt component library (anti-hallucination rules, VenaQL syntax rules, source citation guidelines, etc.). Support component versioning and composition. Create component registry with metadata (purpose, usage, dependencies). Enable mix-and-match prompt building from components. Support component inheritance and overrides. Add component testing and validation.,High,Prompt Context Injection & Templating System,prompt-engineering;modularization,
Story,Create prompt testing framework,Test suite for prompt variations. Automated evaluation metrics (accuracy, relevance, hallucination rate). A/B testing infrastructure.,High,Prompt Engineering & Optimization Framework,prompt-engineering;testing,
Story,Add prompt analytics dashboard,Track prompt performance metrics. Compare versions side-by-side. Identify prompt weaknesses.,High,Prompt Engineering & Optimization Framework,prompt-engineering;analytics,
Story,Create prompt optimization workflow,Iterative improvement process. Version control for prompt experiments. Rollback capability.,High,Prompt Engineering & Optimization Framework,prompt-engineering;optimization,
Story,Add document versioning,Track document versions in database. Support document updates without full re-ingestion. Incremental ingestion (only changed documents).,High,Enhanced Document Management System,document-management;versioning,
Story,Improve document metadata tracking,Store document source, author, last modified date. Track document approval status and workflow. Store document categories/tags.,High,Enhanced Document Management System,document-management;metadata,
Story,Add document search and filtering,Search documents by name, content, metadata. Filter by status, category, date range. Bulk operations (approve/reject multiple).,High,Enhanced Document Management System,document-management;search,
Story,Create document analytics,Track which documents are most frequently retrieved. Identify unused or outdated documents. Document quality metrics.,High,Enhanced Document Management System,document-management;analytics,
Story,Enhance Vena API client with additional endpoints,Implement model listing/discovery (if available). Add support for dimension hierarchies endpoint. Add support for member relationships (parent/child). Implement pagination for large datasets. Add rate limiting and request throttling.,High,Vena API Integration & Data Pulling,vena-api;integration,
Story,Create data synchronization service,Background job to periodically pull Vena tenant data. Incremental updates (only changed data). Full sync capability for initial setup. Conflict resolution for concurrent updates. Sync status tracking and reporting.,High,Vena API Integration & Data Pulling,vena-api;data-sync,
Story,Implement intelligent caching for Vena API data,Cache dimensions, members, and hierarchies. Cache intersection data with TTL based on data type. Cache invalidation strategies (time-based, event-based). Multi-level caching (memory + Redis). Cache warming for frequently accessed data.,High,Vena API Integration & Data Pulling,vena-api;caching,
Story,Add model ID management system,Store model IDs per tenant/user. Model ID discovery and validation. Support for multiple models per tenant. Model metadata storage (name, description, last sync). Admin UI for model ID management.,High,Vena API Integration & Data Pulling,vena-api;model-management,
Story,Create data transformation and formatting service,Transform Vena API responses to RAG-friendly format. Format hierarchies for prompt injection. Structure dimension members for context. Aggregate intersection data for summaries. Handle large datasets with summarization.,High,Vena API Integration & Data Pulling,vena-api;data-transformation,
Story,Enhance error handling and retry logic,Exponential backoff for rate limits. Retry strategies for transient failures. Circuit breaker pattern for API failures. Graceful degradation when API unavailable. Detailed error logging and alerting.,High,Vena API Integration & Data Pulling,vena-api;error-handling,
Story,Add real-time data update capabilities,Webhook support for Vena data changes (if available). Polling mechanism for data updates. Event-driven cache invalidation. Real-time sync status dashboard. Notification system for sync failures.,High,Vena API Integration & Data Pulling,vena-api;real-time,
Story,Create Vena API analytics and monitoring,Track API call frequency and costs. Monitor API response times. Track data freshness metrics. Alert on API errors or failures. Dashboard for Vena API health.,High,Vena API Integration & Data Pulling,vena-api;monitoring,
Story,Update cache keys to include LLM provider,Location: backend/src/api/routes/query.py (lines 204-207). Include provider in cache key: f"{llm_provider}:{question}". Prevents cross-provider cache hits (GPT-4o response returned for Claude query).,Medium,LLM Provider Compatibility Fixes,llm-provider;caching;bug-fix,
Story,Add LLM provider/model tracking to query logs,Add llm_provider field to QueryLog model. Add model_name field to QueryLog model. Update log_query_async() to accept provider/model parameters. Pass provider/model from query endpoint to logger.,Medium,LLM Provider Compatibility Fixes,llm-provider;logging,
Story,Add provider-specific analytics,Cost tracking per provider. Performance comparison (latency, token usage). Error rate comparison.,Medium,LLM Provider Compatibility Fixes,llm-provider;analytics,
Story,Add provider-specific error handling,Anthropic-specific errors (rate limits, API errors). OpenAI-specific errors. Better error messages for users.,Medium,LLM Provider Compatibility Fixes,llm-provider;error-handling,
Story,Add error recovery strategies,Automatic retry with exponential backoff. Fallback to alternative provider on failure. Graceful degradation.,Medium,LLM Provider Compatibility Fixes,llm-provider;error-handling,
Story,Verify embeddings still work correctly,Ensure embeddings are functioning properly with current setup.,Medium,Infrastructure & Code Quality Improvements,infrastructure;embeddings,
Story,Check for hardcoded model references,Search codebase for hardcoded model names and replace with configuration-based references.,Medium,Infrastructure & Code Quality Improvements,infrastructure;code-quality,
Story,Ensure ingestion doesn't depend on LLM provider,Verify ingestion pipeline is provider-agnostic.,Medium,Infrastructure & Code Quality Improvements,infrastructure;ingestion,
Story,Add ingestion performance metrics,Track ingestion performance and add metrics.,Medium,Infrastructure & Code Quality Improvements,infrastructure;performance,
Story,Search codebase for hardcoded model names,Find all hardcoded model references.,Medium,Infrastructure & Code Quality Improvements,infrastructure;code-quality,
Story,Replace with configuration-based references,Update code to use configuration instead of hardcoded values.,Medium,Infrastructure & Code Quality Improvements,infrastructure;code-quality,
Story,Update documentation with model references,Update docs to reflect configuration-based approach.,Medium,Infrastructure & Code Quality Improvements,infrastructure;documentation,
Story,Create test cases for prompt variations,Develop test suite for different prompt variations.,Low,Testing & Quality Assurance,testing;prompt-engineering,
Story,Automated prompt evaluation,Implement automated evaluation system for prompts.,Low,Testing & Quality Assurance,testing;automation,
Story,Regression testing for prompt changes,Ensure prompt changes don't break existing functionality.,Low,Testing & Quality Assurance,testing;regression,
Story,Document prompt versioning system,Create documentation for prompt versioning features.,Low,Documentation & Knowledge Base Updates,documentation;prompt-management,
Story,Document Sentry breadcrumb structure,Document how Sentry breadcrumbs are structured and used.,Low,Documentation & Knowledge Base Updates,documentation;sentry,
Story,Document context injection system,Document how context injection works and how to use it.,Low,Documentation & Knowledge Base Updates,documentation;context-injection,
Story,Update API documentation,Update API docs with new endpoints and features.,Low,Documentation & Knowledge Base Updates,documentation;api,
Story,Multi-turn conversation context in prompts,Add conversation history to prompts for better context.,Low,Advanced Prompt Features,prompt-engineering;conversation,
Story,Dynamic few-shot example selection,Select examples dynamically based on query similarity.,Low,Advanced Prompt Features,prompt-engineering;few-shot,
Story,Prompt templates for different query types,Create specialized templates for different query types.,Low,Advanced Prompt Features,prompt-engineering;templating,
Story,Prompt personalization per user/tenant,Customize prompts based on user or tenant preferences.,Low,Advanced Prompt Features,prompt-engineering;personalization,
Story,Prompt performance dashboards,Create dashboards to visualize prompt performance metrics.,Low,Monitoring & Analytics Dashboards,monitoring;analytics,
Story,Real-time prompt monitoring,Monitor prompts in real-time for issues.,Low,Monitoring & Analytics Dashboards,monitoring;real-time,
Story,Alerting for prompt degradation,Set up alerts when prompt quality degrades.,Low,Monitoring & Analytics Dashboards,monitoring;alerting,
Story,Cost tracking per prompt version,Track costs associated with each prompt version.,Low,Monitoring & Analytics Dashboards,monitoring;cost-tracking,
